model;scenario;region;variable;unit;time;value
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 07:00+01:00;687.68
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 08:00+01:00;669.92
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 09:00+01:00;659.47
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 10:00+01:00;652.21
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 11:00+01:00;650.75
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 12:00+01:00;657.48
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 13:00+01:00;654.24
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 14:00+01:00;647.69
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 15:00+01:00;647.50
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 16:00+01:00;632.14
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 17:00+01:00;608.68
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 18:00+01:00;617.83
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 19:00+01:00;624.57
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 20:00+01:00;633.94
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 21:00+01:00;619.58
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 22:00+01:00;606.88
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-09 23:00+01:00;585.58
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 00:00+01:00;580.52
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 01:00+01:00;570.03
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 02:00+01:00;558.74
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 03:00+01:00;554.12
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 04:00+01:00;561.56
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 05:00+01:00;579.38
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 06:00+01:00;593.21
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 07:00+01:00;605.41
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 08:00+01:00;599.39
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 09:00+01:00;602.73
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 10:00+01:00;609.77
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 11:00+01:00;609.34
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 12:00+01:00;625.31
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-10 13:00+01:00;633.75
